iter	Passed	Remaining
402	12299	18220
403	12331	18191
404	12367	18169
405	12406	18151
406	12438	18123
407	12476	18102
408	12524	18098
409	12564	18080
410	12595	18051
411	12630	18026
412	12663	17998
413	12689	17961
414	12719	17930
415	12748	17896
416	12777	17864
417	12813	17840
418	12846	17813
419	12878	17784
420	12916	17764
421	12949	17736
422	12981	17707
423	13015	17680
424	13043	17647
425	13072	17613
426	13101	17580
427	13130	17548
428	13158	17513
429	13186	17479
430	13216	17447
431	13246	17416
432	13274	17382
433	13304	17350
434	13333	17318
435	13366	17290
436	13395	17258
437	13428	17230
438	13458	17199
439	13491	17171
440	13528	17148
441	13563	17123
442	13596	17095
443	13631	17070
444	13665	17043
445	13694	17010
446	13722	16976
447	13751	16943
448	13782	16913
449	13814	16884
450	13847	16856
451	13882	16830
452	13916	16804
453	13951	16779
454	13980	16745
455	14008	16711
456	14037	16679
457	14068	16648
458	14097	16615
459	14125	16582
460	14153	16548
461	14183	16516
462	14214	16486
463	14246	16457
464	14278	16427
465	14309	16398
466	14343	16370
467	14374	16339
468	14405	16309
469	14430	16273
470	14459	16240
471	14487	16206
472	14513	16170
473	14540	16135
474	14569	16102
475	14595	16067
476	14624	16034
477	14651	15999
478	14676	15963
479	14709	15935
480	14741	15905
481	14769	15872
482	14800	15842
483	14828	15809
484	14859	15778
485	14885	15742
486	14912	15709
487	14942	15677
488	14968	15641
489	14994	15606
490	15024	15575
491	15050	15540
492	15077	15505
493	15106	15473
494	15134	15440
