iter	RMSE
155	12761.26643
156	12759.18609
157	12757.36293
158	12754.46397
159	12752.13027
160	12749.31103
161	12744.44723
162	12742.42539
163	12740.00527
164	12735.03696
165	12732.06881
166	12729.82239
167	12727.19235
168	12724.07613
169	12720.64251
170	12718.04294
171	12715.2848
172	12712.87241
173	12710.01318
174	12707.60997
175	12705.94761
176	12702.35311
177	12697.6053
178	12694.7004
179	12692.00438
180	12689.25241
181	12685.50091
182	12683.69768
183	12681.48439
184	12679.42136
185	12677.42741
186	12673.86176
187	12670.6081
188	12668.0584
189	12664.01122
190	12659.60225
191	12657.19852
192	12654.5438
193	12650.31744
194	12646.9938
195	12643.87275
196	12642.1132
197	12640.5922
198	12637.64474
199	12634.34181
200	12631.64176
201	12628.59791
202	12626.09869
203	12624.6431
204	12622.69719
205	12618.95413
206	12616.93176
207	12613.79032
208	12611.46224
209	12609.98167
210	12607.70541
211	12604.4901
212	12602.08818
213	12600.06535
214	12596.09753
215	12593.31029
216	12590.0751
217	12585.9068
218	12584.67576
219	12582.27901
220	12578.87779
221	12576.39548
222	12575.00623
223	12573.52675
224	12571.27932
225	12568.47256
226	12566.00591
227	12562.61322
228	12559.78538
229	12557.2538
230	12554.46127
231	12552.25253
232	12549.78076
233	12545.25638
234	12543.63927
235	12539.68739
236	12537.45937
237	12535.70826
238	12533.42446
239	12531.01474
240	12528.87551
241	12526.72328
242	12524.47469
243	12521.12626
244	12519.30362
245	12517.05773
246	12515.93693
247	12513.31386
248	12510.86811
249	12507.82086
250	12504.91949
251	12501.93995
252	12499.53276
253	12497.41963
254	12496.12182
255	12492.99787
256	12490.04533
257	12487.15291
258	12485.3508
259	12482.50721
260	12480.76449
261	12478.84183
262	12475.79836
263	12474.01343
264	12471.44163
265	12468.48602
266	12465.00537
267	12461.37281
268	12458.29968
269	12456.5331
270	12453.62114
271	12451.40489
272	12449.27431
273	12447.46642
274	12444.79765
275	12442.69914
276	12440.70782
277	12439.04836
278	12437.71195
279	12436.10764
280	12433.47644
281	12430.63109
282	12429.24139
283	12426.48707
284	12423.4181
285	12421.58357
286	12418.52572
287	12414.02991
288	12411.13618
289	12409.44644
290	12407.43018
291	12405.36248
292	12403.61214
293	12402.04801
